id,name,description,weight,temperament,origin,life_span,adaptability,affection_level,energy_level,health_issues,intelligence,stranger_friendly,child_friendly,hairless,natural,short_legs,rare,indoor,image,wikipedia_url
11,Bengal,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",3 - 7,"Alert, Agile, Energetic, Demanding, Intelligent",United States,12 - 15,5,5,5,3,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/O3btzLlsO.png,https://en.wikipedia.org/wiki/Bengal_(cat)
12,Birman,"The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you’re doing. He communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.",3 - 7,"Affectionate, Active, Gentle, Social",France,14 - 15,5,5,3,1,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg,https://en.wikipedia.org/wiki/Birman
13,Bombay,"The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.",3 - 5,"Affectionate, Dependent, Gentle, Intelligent, Playful",United States,12 - 16,5,5,3,3,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg,https://en.wikipedia.org/wiki/Bombay_(cat)
14,British Longhair,"The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.",4 - 8,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",United Kingdom,12 - 14,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/7isAO4Cav.jpg,https://en.wikipedia.org/wiki/British_Longhair
15,British Shorthair,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.",5 - 9,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",United Kingdom,12 - 17,5,4,2,2,3,2,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/s4wQfYoEk.jpg,https://en.wikipedia.org/wiki/British_Shorthair
16,Burmese,"Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.",3 - 5,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",Burma,15 - 16,5,5,4,3,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/4lXnnfxac.jpg,https://en.wikipedia.org/wiki/Burmese_(cat)
17,Burmilla,"The Burmilla is a fairly placid cat. She tends to be an easy cat to get along with, requiring minimal care. The Burmilla is affectionate and sweet and makes a good companion, the Burmilla is an ideal companion to while away a lonely evening. Loyal, devoted, and affectionate, this cat will stay by its owner, always keeping them company.",3 - 6,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",United Kingdom,10 - 15,5,5,3,3,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg,https://en.wikipedia.org/wiki/Burmilla
18,California Spangled,"Perhaps the only thing about the California spangled cat that isn’t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.",5 - 7,"Affectionate, Curious, Intelligent, Loyal, Social",United States,10 - 14,5,5,5,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/B1ERTmgph.jpg,https://en.wikipedia.org/wiki/California_Spangled
19,Chantilly-Tiffany,"The Chantilly is a devoted companion and prefers company to being left alone. While the Chantilly is not demanding, she will ""chirp"" and ""talk"" as if having a conversation. This breed is affectionate, with a sweet temperament. It can stay still for extended periods, happily lounging in the lap of its loved one. This quality makes the Tiffany an ideal traveling companion, and an ideal house companion for senior citizens and the physically handicapped.",3 - 5,"Affectionate, Demanding, Interactive, Loyal",United States,14 - 16,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg,https://en.wikipedia.org/wiki/Chantilly-Tiffany
20,Chartreux,"The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you’re not feeling well.",3 - 7,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",France,12 - 15,5,5,2,2,4,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg,https://en.wikipedia.org/wiki/Chartreux
21,Chausie,"For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.",3 - 7,"Affectionate, Intelligent, Playful, Social",Egypt,12 - 14,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/vJ3lEYgXr.jpg,https://en.wikipedia.org/wiki/Chausie
22,Cheetoh,"The Cheetoh has a super affectionate nature and real love for their human companions; they are intelligent with the ability to learn quickly. You can expect that a Cheetoh will be a fun-loving kitty who enjoys playing, running, and jumping through every room in your house.",4 - 7,"Affectionate, Gentle, Intelligent, Social",United States,12 - 14,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/IFXsxmXLm.jpg,https://en.wikipedia.org/wiki/Bengal_cat#Cheetoh
23,Colorpoint Shorthair,"Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner’s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.",2 - 5,"Affectionate, Intelligent, Playful, Social",United States,12 - 16,3,4,4,2,5,2,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/oSpqGyUDS.jpg,https://en.wikipedia.org/wiki/Colorpoint_Shorthair
24,Cornish Rex,"This is a confident cat who loves people and will follow them around, waiting for any opportunity to sit in a lap or give a kiss. He enjoys being handled, making it easy to take him to the veterinarian or train him for therapy work. The Cornish Rex stay in kitten mode most of their lives and well into their senior years. ",2 - 4,"Affectionate, Intelligent, Active, Curious, Playful",United Kingdom,11 - 14,5,5,5,2,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/unX21IBVB.jpg,https://en.wikipedia.org/wiki/Cornish_Rex
25,Cymric,"The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.",4 - 6,"Gentle, Loyal, Intelligent, Playful",Canada,8 - 14,5,5,5,3,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/3dbtapCWM.jpg,https://en.wikipedia.org/wiki/Cymric_(cat)
26,Cyprus,"Loving, loyal, social and inquisitive, the Cyprus cat forms strong ties with their families and love nothing more than to be involved in everything that goes on in their surroundings. They are not overly active by nature which makes them the perfect companion for people who would like to share their homes with a laid-back relaxed feline companion. ",4 - 7,"Affectionate, Social",Cyprus,12 - 15,5,5,4,1,3,4,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/tJbzb7FKo.jpg,https://en.wikipedia.org/wiki/Cyprus_cat
27,Devon Rex,"The favourite perch of the Devon Rex is right at head level, on the shoulder of her favorite person. She takes a lively interest in everything that is going on and refuses to be left out of any activity. Count on her to stay as close to you as possible, occasionally communicating his opinions in a quiet voice. She loves people and welcomes the attentions of friends and family alike.",2 - 5,"Highly interactive, Mischievous, Loyal, Social, Playful",United Kingdom,10 - 15,5,5,5,3,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/4RzEwvyzz.png,https://en.wikipedia.org/wiki/Devon_Rex
28,Donskoy,"Donskoy are affectionate, intelligent, and easy-going. They demand lots of attention and interaction. The Donskoy also gets along well with other pets. It is now thought the same gene that causes degrees of hairlessness in the Donskoy also causes alterations in cat personality, making them calmer the less hair they have.",5 - 6,"Playful, affectionate, loyal, social",Russia,12 - 15,4,4,4,3,3,5,3,True,False,False,True,False,https://cdn2.thecatapi.com/images/3KG57GfMW.jpg,https://en.wikipedia.org/wiki/Donskoy_(cat)
29,Dragon Li,"The Dragon Li is loyal, but not particularly affectionate. They are known to be very intelligent, and their natural breed status means that they're very active. She is is gentle with people, and has a reputation as a talented hunter of rats and other vermin.",4 - 6,"Intelligent, Friendly, Gentle, Loving, Loyal",China,12 - 15,3,3,3,1,3,3,3,False,True,False,False,True,https://cdn2.thecatapi.com/images/BQMSld0A0.jpg,https://en.wikipedia.org/wiki/Dragon_Li
30,Egyptian Mau,"The Egyptian Mau is gentle and reserved. She loves her people and desires attention and affection from them but is wary of others. Early, continuing socialization is essential with this sensitive and sometimes shy cat, especially if you plan to show or travel with her. Otherwise, she can be easily startled by unexpected noises or events.",3 - 6,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",Egypt,18 - 20,2,5,5,3,4,2,3,False,True,False,False,False,https://cdn2.thecatapi.com/images/TuSyTkt2n.jpg,https://en.wikipedia.org/wiki/Egyptian_Mau
31,European Burmese,"The European Burmese is a very affectionate, intelligent, and loyal cat. They thrive on companionship and will want to be with you, participating in everything you do. While they might pick a favorite family member, chances are that they will interact with everyone in the home, as well as any visitors that come to call. They are inquisitive and playful, even as adults. ",3 - 6,"Sweet, Affectionate, Loyal",Burma,10 - 15,5,5,4,4,5,5,4,False,False,False,False,False,,
32,Exotic Shorthair,"The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don’t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.",3 - 6,"Affectionate, Sweet, Loyal, Quiet, Peaceful",United States,12 - 15,5,5,3,3,3,2,3,False,False,False,False,False,https://cdn2.thecatapi.com/images/YnPrYEmfe.jpg,https://en.wikipedia.org/wiki/Exotic_Shorthair
33,Havana Brown,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.",3 - 5,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",United Kingdom,10 - 15,5,5,3,1,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/njK25knLH.jpg,https://en.wikipedia.org/wiki/Havana_Brown
34,Himalayan,"Calm and devoted, Himalayans make excellent companions, though they prefer a quieter home. They are playful in a sedate kind of way and enjoy having an assortment of toys. The Himalayan will stretch out next to you, sleep in your bed and even sit on your lap when she is in the mood.",3 - 6,"Dependent, Gentle, Intelligent, Quiet, Social",United States,9 - 15,5,5,1,3,3,2,2,False,False,False,False,False,https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg,https://en.wikipedia.org/wiki/Himalayan_(cat)
35,Japanese Bobtail,"The Japanese Bobtail is an active, sweet, loving and highly intelligent breed. They love to be with people and play seemingly endlessly. They learn their name and respond to it. They bring toys to people and play fetch with a favorite toy for hours. Bobtails are social and are at their best when in the company of people. They take over the house and are not intimidated. If a dog is in the house, Bobtails assume Bobtails are in charge.",2 - 5,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",Japan,14 - 16,5,5,5,1,5,5,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/-tm9-znzl.jpg,https://en.wikipedia.org/wiki/Japanese_Bobtail
36,Javanese,"Javanese are endlessly interested, intelligent and active. They tend to enjoy jumping to great heights, playing with fishing pole-type or other interactive toys and just generally investigating their surroundings. He will attempt to copy things you do, such as opening doors or drawers.",2 - 5,"Active, Devoted, Intelligent, Playful",United States,10 - 12,4,5,5,3,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/xoI_EpOKe.jpg,https://en.wikipedia.org/wiki/Javanese_cat
37,Khao Manee,"The Khao Manee is highly intelligent, with an extrovert and inquisitive nature, however they are also very calm and relaxed, making them an idea lap cat.",4 - 6,"Calm, Relaxed, Talkative, Playful, Warm",Thailand,10 - 12,4,4,3,1,4,3,3,False,False,False,False,False,https://cdn2.thecatapi.com/images/165ok6ESN.jpg,https://en.wikipedia.org/wiki/Khao_Manee
38,Korat,"The Korat is a natural breed, and one of the oldest stable cat breeds. They are highly intelligent and confident cats that can be fearless, although they are startled by loud sounds and sudden movements. Korats form strong bonds with their people and like to cuddle and stay nearby.",3 - 5,"Active, Loyal, highly intelligent, Expressive, Trainable",Thailand,10 - 15,5,5,3,1,5,2,4,False,False,False,True,False,https://cdn2.thecatapi.com/images/DbwiefiaY.png,https://en.wikipedia.org/wiki/Korat
39,Kurilian,"The character of the Kurilian Bobtail is independent, highly intelligent, clever, inquisitive, sociable, playful, trainable, absent of aggression and very gentle. They are devoted to their humans and when allowed are either on the lap of or sleeping in bed with their owners.",4 - 7,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",Russia,15 - 20,5,5,5,1,5,5,5,False,True,False,False,False,https://cdn2.thecatapi.com/images/NZpO4pU56M.jpg,https://en.wikipedia.org/wiki/Kurilian_Bobtail
40,LaPerm,"LaPerms are gentle and affectionate but also very active. Unlike many active breeds, the LaPerm is also quite content to be a lap cat. The LaPerm will often follow your lead; that is, if they are busy playing and you decide to sit and relax, simply pick up your LaPerm and sit down with it, and it will stay in your lap, devouring the attention you give it.",3 - 5,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",Thailand,10 - 15,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/aKbsEYjSl.jpg,https://en.wikipedia.org/wiki/LaPerm
41,Maine Coon,"They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn’t needy. Most Maine Coons love water and they can be quite good swimmers.",5 - 8,"Adaptable, Intelligent, Loving, Gentle, Independent",United States,12 - 15,5,5,3,3,5,5,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/OOD3VXAQn.jpg,https://en.wikipedia.org/wiki/Maine_Coon
42,Malayan,"Malayans love to explore and even enjoy traveling by way of a cat carrier. They are quite a talkative and rather loud cat with an apparent strong will. These cats will make sure that you give it the attention it seeks and always seem to want to be held and hugged. They will constantly interact with people, even strangers. They love to play and cuddle.",3 - 6,"Affectionate, Interactive, Playful, Social",United Kingdom,12 - 18,5,5,5,1,3,3,4,False,False,False,False,False,,https://en.wikipedia.org/wiki/Asian_cat
43,Manx,"The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.",3 - 6,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,12 - 14,5,5,5,3,5,3,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg,https://en.wikipedia.org/wiki/Manx_(cat)
44,Munchkin,The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.,2 - 4,"Agile, Easy Going, Intelligent, Playful",United States,10 - 15,5,5,4,3,5,5,4,False,False,True,False,False,https://cdn2.thecatapi.com/images/j5cVSqLer.jpg,https://en.wikipedia.org/wiki/Munchkin_(cat)
45,Nebelung,"The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.",3 - 5,"Gentle, Quiet, Shy, Playful",United States,11 - 16,5,5,3,2,5,3,4,False,False,False,True,False,https://cdn2.thecatapi.com/images/OGTWqNNOt.jpg,https://en.wikipedia.org/wiki/Nebelung
46,Norwegian Forest Cat,"The Norwegian Forest Cat is a sweet, loving cat. She appreciates praise and loves to interact with her parent. She makes a loving companion and bonds with her parents once she accepts them for her own. She is still a hunter at heart. She loves to chase toys as if they are real. She is territorial and patrols several times each day to make certain that all is fine.",4 - 7,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",Norway,12 - 16,5,5,3,3,4,5,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/06dgGmEOV.jpg,https://en.wikipedia.org/wiki/Norwegian_Forest_Cat
47,Ocicat,"Loyal and devoted to their owners, the Ocicat is intelligent, confident, outgoing, and seems to have many dog traits. They can be trained to fetch toys, walk on a lead, taught to 'speak', come when called, and follow other commands. ",3 - 7,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",United States,12 - 14,5,5,5,3,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/JAx-08Y0n.jpg,https://en.wikipedia.org/wiki/Ocicat
48,Oriental,"Orientals are passionate about the people in their lives. They become extremely attached to their humans, so be prepared for a lifetime commitment. When you are not available to entertain her, an Oriental will divert herself by jumping on top of the refrigerator, opening drawers, seeking out new hideaways.",2 - 5,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",United States,12 - 14,5,5,5,3,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/LutjkZJpH.jpg,https://en.wikipedia.org/wiki/Oriental_Shorthair
49,Persian,"Persians are sweet, gentle cats that can be playful or quiet and laid-back. Great with families and children, they absolutely love to lounge around the house. While they don’t mind a full house or active kids, they’ll usually hide when they need some alone time.",4 - 6,"Affectionate, loyal, Sedate, Quiet",Iran (Persia),14 - 15,5,5,1,3,3,2,2,False,True,False,False,False,https://cdn2.thecatapi.com/images/-Zfz5z2jK.jpg,https://en.wikipedia.org/wiki/Persian_(cat)
50,Pixie-bob,"Companionable and affectionate, the Pixie-bob wants to be an integral part of the family. The Pixie-Bob’s ability to bond with their humans along with their patient personas make them excellent companions for children.",4 - 8,"Affectionate, Social, Intelligent, Loyal",United States,13 - 16,5,5,4,2,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/z7fJRNeN6.jpg,https://en.wikipedia.org/wiki/Pixiebob
51,Ragamuffin,"The Ragamuffin is calm, even tempered and gets along well with all family members. Changes in routine generally do not upset her. She is an ideal companion for those in apartments, and with children due to her patient nature.",4 - 9,"Affectionate, Friendly, Gentle, Calm",United States,12 - 16,5,5,3,3,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/SMuZx-bFM.jpg,https://en.wikipedia.org/wiki/Ragamuffin_cat
52,Ragdoll,"Ragdolls love their people, greeting them at the door, following them around the house, and leaping into a lap or snuggling in bed whenever given the chance. They are the epitome of a lap cat, enjoy being carried and collapsing into the arms of anyone who holds them.",5 - 9,"Affectionate, Friendly, Gentle, Quiet, Easygoing",United States,12 - 17,5,5,3,3,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/oGefY4YoG.jpg,https://en.wikipedia.org/wiki/Ragdoll
53,Russian Blue,Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.,2 - 5,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",Russia,10 - 16,3,3,3,1,3,1,3,False,True,False,False,False,https://cdn2.thecatapi.com/images/Rhj-JsTLP.jpg,https://en.wikipedia.org/wiki/Russian_Blue
54,Savannah,"Savannah is the feline version of a dog. Actively seeking social interaction, they are given to pouting if left out. Remaining kitten-like through life. Profoundly loyal to immediate family members whilst questioning the presence of strangers. Making excellent companions that are loyal, intelligent and eager to be involved.",4 - 11,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",United States,17 - 20,5,5,5,1,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/a8nIYvs6S.jpg,https://en.wikipedia.org/wiki/Savannah_cat
55,Scottish Fold,"The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".",2 - 5,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",United Kingdom,11 - 14,5,5,3,4,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/o9t0LDcsa.jpg,https://en.wikipedia.org/wiki/Scottish_Fold
56,Selkirk Rex,"The Selkirk Rex is an incredibly patient, loving, and tolerant breed. The Selkirk also has a silly side and is sometimes described as clownish. She loves being a lap cat and will be happy to chat with you in a quiet voice if you talk to her. ",3 - 7,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",United States,14 - 15,5,5,3,4,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/II9dOZmrw.jpg,https://en.wikipedia.org/wiki/Selkirk_Rex
57,Siamese,"While Siamese cats are extremely fond of their people, they will follow you around and supervise your every move, being talkative and opinionated. They are a demanding and social cat, that do not like being left alone for long periods.",4 - 7,"Active, Agile, Clever, Sociable, Loving, Energetic",Thailand,12 - 15,5,5,5,1,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/ai6Jps4sx.jpg,https://en.wikipedia.org/wiki/Siamese_(cat)
58,Siberian,"The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ",4 - 7,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",Russia,12 - 15,5,5,5,2,5,3,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/3bkZAjRh1.jpg,https://en.wikipedia.org/wiki/Siberian_(cat)
59,Singapura,"The Singapura is usually cautious when it comes to meeting new people, but loves attention from his family so much that she sometimes has the reputation of being a pest. This is a highly active, curious and affectionate cat. She may be small, but she knows she’s in charge",2 - 4,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",Singapore,12 - 15,5,5,5,1,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/Qtncp2nRe.jpg,https://en.wikipedia.org/wiki/Singapura_(cat)
60,Snowshoe,"The Snowshoe is a vibrant, energetic, affectionate and intelligent cat. They love being around people which makes them ideal for families, and becomes unhappy when left alone for long periods of time. Usually attaching themselves to one person, they do whatever they can to get your attention.",3 - 5,"Affectionate, Social, Intelligent, Sweet-tempered",United States,14 - 19,5,5,4,1,5,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/MK-sYESvO.jpg,https://en.wikipedia.org/wiki/Snowshoe_(cat)
61,Somali,"The Somali lives life to the fullest. He climbs higher, jumps farther, plays harder. Nothing escapes the notice of this highly intelligent and inquisitive cat. Somalis love the company of humans and other animals.",3 - 5,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",Somalia,12 - 16,5,5,5,2,5,5,3,False,False,False,False,False,https://cdn2.thecatapi.com/images/EPF2ejNS0.jpg,https://en.wikipedia.org/wiki/Somali_(cat)
